Listing_ID;Last_scraped;Source;Host_ID;Host_since;host_location;Aux.;Host_Location2;Host_response_time;Host_response_rate;Host_response_rate_num;Host_acceptance_rate;Host_acceptance_rate_num;host_is_superhost;Superhost;Superhost2;Host_listings_count;Host_total_listings_count;host_verifications;Host_verification;Host_identity_verified;Host_identity_verified2;Neighbourhood_group_cleansed;Property_type;Room_type;Num. Accommodates;Bathrooms_initial;Num. Bathrooms;Bathrooms_text;Shared_bathrooms;Bedrooms_initial;Beds_initial;Price;Price_€;minimum_nights;minimum_night_category;maximum_nights;maximum_nights_category;minimum_minimum_nights;maximum_minimum_nights;minimum_maximum_nights;maximum_maximum_nights;minimum_nights_avg_ntm;maximum_nights_avg_ntm;calendar_updated;has_availability;availability_30;availability_60;availability_90;availability_365;anual_availability;calendar_last_scraped;number_of_reviews;number_of_reviews_ltm;number_of_reviews_l30d;availability_eoy;number_of_reviews_ly;first_review;last_review;review_scores_rating_ininitial;Review_scores_rating2;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable;Instant_bookable2;calculated_host_listings_count;calculated_host_listings_count_entire_homes;calculated_host_listings_count_private_rooms;calculated_host_listings_count_shared_rooms;reviews_per_month
6,7656E+17;07/03/2025;previous scrape;346367515;15/05/2020;Barcelona, Spain;1;Spain;within a few hours;99%;0,99;98%;0,98;f;f;False;841;853;phone, work_email;phone, work_email;t;True;Centro;Entire rental unit;Entire home/apt;4;;0;2 baths;Private;2;;;;31;Montly rental;365;Long stay (up to 1 year);31;31;365;365;310;3650;;t;0;0;11;251;High availability;07/03/2025;1;0;0;221;0;08/01/2023;08/01/2023;40;0,4;40;40;40;30;40;40;t;True;341;341;0;0;4
6,83738E+17;07/03/2025;city scrape;471977881;28/07/2022;Madrid, Spain;1;Spain;a few days or more;0%;0,00;0%;0,00;f;f;False;125;182;phone;phone;t;True;Centro;Entire condo;Entire home/apt;2;10;1;1 bath;Private;1;1;$40.00;40,00;30;Montly rental;180;Long stay (up to 1 year);30;30;180;180;300;1800;;t;1;1;1;1;Low availability;07/03/2025;1;0;0;0;0;31/03/2023;31/03/2023;50;0,5;50;50;50;50;50;50;f;False;120;120;0;0;4
6,8374E+17;05/03/2025;city scrape;471977881;28/07/2022;Madrid, Spain;1;Spain;a few days or more;0%;0,00;0%;0,00;f;f;False;125;182;phone;phone;t;True;Chamartín;Entire condo;Entire home/apt;2;10;1;1 bath;Private;1;1;$66.00;66,00;30;Montly rental;180;Long stay (up to 1 year);30;30;180;180;300;1800;;t;0;0;0;64;Low availability;05/03/2025;0;0;0;1;0;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;f;False;120;120;0;0;
6,83742E+17;09/03/2025;previous scrape;471977881;28/07/2022;Madrid, Spain;1;Spain;a few days or more;0%;0,00;0%;0,00;f;f;False;125;182;phone;phone;t;True;Salamanca;Entire condo;Entire home/apt;4;;0;1 bath;Private;2;;;;30;Montly rental;180;Long stay (up to 1 year);30;30;180;180;300;1800;;t;0;0;0;0;Not available;09/03/2025;0;0;0;0;0;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;f;False;120;120;0;0;
6,83747E+17;08/03/2025;city scrape;471977881;28/07/2022;Madrid, Spain;1;Spain;a few days or more;0%;0,00;0%;0,00;f;f;False;125;182;phone;phone;t;True;Centro;Entire condo;Entire home/apt;2;10;1;1 bath;Private;1;1;$81.00;81,00;30;Montly rental;180;Long stay (up to 1 year);30;30;180;180;300;1800;;t;0;0;0;251;High availability;08/03/2025;0;0;0;185;0;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;f;False;120;120;0;0;
6,8375E+17;10/03/2025;previous scrape;471977881;28/07/2022;Madrid, Spain;1;Spain;a few days or more;0%;0,00;0%;0,00;f;f;False;125;182;phone;phone;t;True;Centro;Entire condo;Entire home/apt;2;;0;1 bath;Private;1;;;;30;Montly rental;180;Long stay (up to 1 year);30;30;180;180;300;1800;;t;1;1;1;1;Low availability;10/03/2025;0;0;0;0;0;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;f;False;120;120;0;0;
6,83757E+17;06/03/2025;city scrape;7976340;06/08/2013;Madrid, Spain;1;Spain;within an hour;100%;1,00;97%;0,97;t;t;True;9;11;email, phone, work_email;email, phone, work_email;t;True;Centro;Entire rental unit;Entire home/apt;6;10;1;1 bath;Private;1;3;$161.00;161,00;3;Very short stay;30;Medium stay (up to 3 months);2;4;1125;1125;35;11250;;t;17;44;74;165;Medium availability;06/03/2025;137;49;4;165;52;09/08/2022;04/03/2025;492;4,92;487;492;485;496;477;48;t;True;8;8;0;0;437
6,83764E+17;05/03/2025;city scrape;7976340;06/08/2013;Madrid, Spain;1;Spain;within an hour;100%;1,00;97%;0,97;t;t;True;9;11;email, phone, work_email;email, phone, work_email;t;True;Chamberí;Entire rental unit;Entire home/apt;8;20;2;2 baths;Private;3;4;$240.00;240,00;3;Very short stay;30;Medium stay (up to 3 months);1;4;1125;1125;35;11250;;t;7;18;39;114;Medium availability;05/03/2025;131;55;7;114;51;13/12/2022;02/03/2025;494;4,94;494;493;492;495;495;487;f;False;8;8;0;0;483
6,83766E+17;05/03/2025;city scrape;471977881;28/07/2022;Madrid, Spain;1;Spain;a few days or more;0%;0,00;0%;0,00;f;f;False;125;182;phone;phone;t;True;Salamanca;Entire serviced apartment;Entire home/apt;2;10;1;1 bath;Private;1;1;$66.00;66,00;30;Montly rental;180;Long stay (up to 1 year);30;30;180;180;300;1800;;t;4;34;64;339;High availability;05/03/2025;0;0;0;276;0;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;f;False;120;120;0;0;
6,8378E+17;05/03/2025;city scrape;471977881;28/07/2022;Madrid, Spain;1;Spain;a few days or more;0%;0,00;0%;0,00;f;f;False;125;182;phone;phone;t;True;Latina;Entire condo;Entire home/apt;3;20;2;2 baths;Private;2;2;$55.00;55,00;30;Montly rental;180;Long stay (up to 1 year);30;30;180;180;300;1800;;t;0;0;0;33;Low availability;05/03/2025;0;0;0;0;0;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;No reviews;f;False;120;120;0;0;
